,app_name,Apple Genre,Apple Rating,Apple Reviews,Google Genre,Google Rating,Google Reviews
1403,CG Prints,Photo & Video,3.0,2,PHOTOGRAPHY,5.0,1
1404,Power Rangers: Legacy Wars,Games,4.07362,11436,GAME,4.3,264755
1405,File Manager,Utilities,1.0,1,TOOLS,4.6,739329
1406,File Manager,Utilities,0.0,0,TOOLS,4.6,739329
1407,LIFULL HOME'S,Navigation,4.56522,161,HOUSE_AND_HOME,4.2,7573
1408,Assassin's Creed Identity,Games,4.03235,4452,GAME,3.7,42529
1409,Premier League - Official App,Sports,4.79186,152356,SPORTS,4.3,63580
1410,Premier League - Official App,Sports,4.79186,152356,SPORTS,4.3,63782
1411,Bridge Constructor Playground FREE,Games,0.0,0,FAMILY,3.9,137377
1412,Etta Homes,Lifestyle,4.73576,1968,LIFESTYLE,4.2,220
1413,Train Sim Pro,Games,4.58824,136,FAMILY,4.0,1763
1414,Hi-Smart AC,Utilities,1.23729,59,TOOLS,2.2,32
1415,EV Real Estate Search,Lifestyle,4.86554,1004,LIFESTYLE,4.1,88
1416,EV Trip Optimizer for Tesla,Lifestyle,2.61764,68,AUTO_AND_VEHICLES,3.2,46
1417,Big Days - Events Countdown,Productivity,4.57951,283,LIFESTYLE,4.6,39724
1418,Traps n' Gemstones,Games,4.6875,32,GAME,4.5,413
1419,Bubble Bird Rescue,Games,4.28723,188,FAMILY,4.2,70753
1420,Amazon Shopping,Shopping,4.8351,4349737,SHOPPING,4.3,909226
1421,Amazon Shopping,Shopping,4.8351,4349737,SHOPPING,4.3,909204
1422,Amazon Shopping,Shopping,4.8351,4349737,SHOPPING,4.3,908525
1423,Mopar Drag N Brag,Games,4.18564,1643,GAME,4.2,30630
1424,Everbridge,Lifestyle,2.04402,704,COMMUNICATION,3.1,497
1425,American Airlines,Travel,4.58276,166301,TRAVEL_AND_LOCAL,3.7,16980
1426,American Airlines,Travel,4.58276,166301,TRAVEL_AND_LOCAL,3.7,16973
1427,Hinge: Dating & Relationships,Lifestyle,4.4869,496169,DATING,4.2,7779
1428,DK Eyewitness Audio Walks,Travel,1.64286,14,TRAVEL_AND_LOCAL,2.3,9
1429,"Pzizz - Sleep, Nap, Focus",Health & Fitness,4.77409,8645,MEDICAL,4.3,5521
1430,Fisher-Price® Smart Connect™,Lifestyle,4.66676,3601,TOOLS,2.7,422
1431,Kroger,Shopping,4.77787,958698,SHOPPING,4.3,38961
1432,Motorbike Driving Simulator 3D,Games,4.3674,411,GAME,3.9,178723
1433,Dream EZ,Health & Fitness,4.2,5,HEALTH_AND_FITNESS,4.1,107
1434,DreamMapper,Medical,4.60191,92291,MEDICAL,4.2,10710
1435,Step Counter - Calorie Counter,Health & Fitness,4.58333,12,HEALTH_AND_FITNESS,4.0,1577
1436,Drugs.com Medication Guide,Medical,4.81422,5711,MEDICAL,4.4,15875
1437,EZ LED,Lifestyle,1.2857,14,TOOLS,2.2,19
1438,MyQuest for Patients,Medical,4.50976,16143,MEDICAL,4.0,3803
1439,Axe Knight,Games,3.0,1,GAME,4.5,52
1440,AZ Rockets,Games,3.64706,34,GAME,4.2,162
1441,Solitaire!,Games,4.53846,13,GAME,4.7,403911
1442,LOBSTR - go on a lunch date,Lifestyle,5.0,1,DATING,3.7,101
1443,"Blendr - Chat, Flirt & Meet",Social Networking,4.29249,1624,DATING,4.0,28671
1444,Sonic CD Classic,Games,3.93706,3813,GAME,4.6,26138
1445,Flipp - Weekly Shopping,Shopping,4.73066,149412,SHOPPING,4.6,85858
1446,Flipp - Weekly Shopping,Shopping,4.73066,149412,SHOPPING,4.6,85782
1447,Reminder,Productivity,3.0,3,EVENTS,4.5,7074
1448,T-Mobile SyncUP DRIVE,Utilities,4.80058,27245,AUTO_AND_VEHICLES,4.0,1981
1449,Bubble Witch 3 Saga,Games,4.65854,93833,GAME,4.7,1732263
1450,South Park: Phone Destroyer™,Games,4.76942,196751,FAMILY,4.4,288835
1451,GroupMe,Social Networking,4.73582,1559725,COMMUNICATION,4.5,330761
1452,NissanConnect® EV & Services,Lifestyle,4.50729,960,LIFESTYLE,2.3,853
1453,Long Realty AZ Home Search,Lifestyle,4.81276,1661,LIFESTYLE,4.4,132
1454,MEGA,Lifestyle,1.0,1,PRODUCTIVITY,4.0,549973
1455,MEGA,Lifestyle,1.0,1,PRODUCTIVITY,4.0,549214
1456,Penny Finder,Shopping,2.75962,520,SHOPPING,4.2,470
1457,CI On The Go,Lifestyle,4.84615,65,NEWS_AND_MAGAZINES,3.0,2
1458,Nordstrom,Shopping,4.89199,638126,SHOPPING,4.6,2278
1459,Build a Bridge!,Games,4.64191,23952,FAMILY,4.6,263454
1460,Courier Journal,News,4.39872,2054,NEWS_AND_MAGAZINES,3.5,254
1461,Gyft - Mobile Gift Card Wallet,Shopping,2.91336,2343,SHOPPING,4.1,9701
1462,DS cam,Utilities,3.56897,58,PRODUCTIVITY,3.6,3227
1463,Foods Co,Shopping,4.46099,141,SHOPPING,4.3,199
1464,Sway Medical,Medical,3.0,129,MEDICAL,5.0,3
1465,DX Alerts,Lifestyle,2.0,7,LIFESTYLE,4.5,22
1466,Special Forces Group 2,Games,4.3007,10279,GAME,4.6,1432809
1467,Urban Outfitters,Shopping,4.87571,412085,SHOPPING,4.2,4158
1468,McClatchy DC Bureau,News,4.53226,62,NEWS_AND_MAGAZINES,4.3,80
1469,Clear,Lifestyle,5.0,15,TOOLS,3.1,24151
1470,WedMeGood - Wedding Planner,Lifestyle,4.58763,679,LIFESTYLE,4.6,1658
1471,Save.ca,Shopping,4.0,8,SHOPPING,3.7,2094
1472,Tunnel Town,Games,4.29738,2522,FAMILY,4.4,74744
1473,Pinterest,Lifestyle,4.80604,3996473,SOCIAL,4.6,4305441
1474,Pinterest,Lifestyle,4.80604,3996473,SOCIAL,4.6,4300936
1475,ASOS,Shopping,4.86069,387327,SHOPPING,4.7,181798
1476,ASOS,Shopping,4.86069,387327,SHOPPING,4.7,181823
1477,CN Resident,Reference,1.0,1,FAMILY,5.0,1
1478,Rossmann PL,Lifestyle,3.40909,22,SHOPPING,4.0,15867
1479,Familyfirst Messenger,Medical,4.48485,33,MEDICAL,4.0,1
1480,Co-op CRS,Lifestyle,0.0,0,LIFESTYLE,3.6,581
1481,AT&T Digital Life,Lifestyle,3.15223,1478,LIFESTYLE,4.1,10067
1482,EC-HRV test,Medical,0.0,0,SPORTS,3.0,9
1483,KBA-EZ Health Guide,Medical,2.95,20,MEDICAL,5.0,4
1484,MiniInTheBox Online Shopping,Shopping,4.39736,911,SHOPPING,3.9,34171
1485,IHSS Help,Medical,2.8125,32,MEDICAL,4.7,10
1486,Fuel Rewards® program,Shopping,4.76543,395252,LIFESTYLE,4.6,32433
1487,Code,Lifestyle,0.0,0,VIDEO_PLAYERS,4.4,239242
1488,HealtheLife,Medical,2.17872,442,MEDICAL,3.6,190
1489,Telegram,Social Networking,0.0,0,COMMUNICATION,4.4,3128250
1490,Telegram,Social Networking,0.0,0,COMMUNICATION,4.4,3128509
1491,Telegram,Social Networking,0.0,0,COMMUNICATION,4.4,3128611
1492,Scoreboard FR,Lifestyle,2.28873,142,LIFESTYLE,4.3,3
1493,Lippincott Nursing Advisor,Medical,2.54545,22,MEDICAL,3.8,343
1494,Au Pair Legend,Lifestyle,3.375,8,LIFESTYLE,4.4,28
1495,Interactive CT and MRI Anatomy,Medical,3.0,2,MEDICAL,3.4,35
1496,EP Mobile,Medical,5.0,4,MEDICAL,4.3,267
1497,ColorSnap® Visualizer,Lifestyle,3.9743,13426,HOUSE_AND_HOME,3.4,3280
1498,WICShopper,Shopping,4.49497,1988,SHOPPING,3.9,3023
1499,Nucleus Smart,Medical,3.26838,272,MEDICAL,3.7,20
1500,FK,Medical,4.58824,17,MEDICAL,4.4,1517
1501,Community by C Space,Lifestyle,4.75682,1209,LIFESTYLE,4.7,707
1502,PLAYBULB X,Utilities,2.57446,94,LIFESTYLE,2.9,2160
1503,Hospitalist Handbook,Medical,4.51515,33,MEDICAL,4.8,12
1504,ClearCareGo Caregiver,Medical,4.07883,4186,MEDICAL,4.2,1746
1505,EyeCloud,Photo & Video,3.32778,360,LIBRARIES_AND_DEMO,3.1,1267
1506,Vargo Anesthesia Mega App,Medical,4.54795,73,MEDICAL,4.6,92
1507,AnatomyMapp,Medical,4.72482,963,MEDICAL,4.1,80
1508,UM BP Track,Medical,0.0,0,MEDICAL,2.0,1
1509,"Moco - Chat, Meet People",Lifestyle,4.08961,17130,DATING,4.2,313724
1510,"Moco - Chat, Meet People",Lifestyle,4.08961,17130,DATING,4.2,313769
1511,FP Notebook,Medical,2.90805,87,MEDICAL,4.5,408
1512,FP Notebook,Medical,2.90805,87,MEDICAL,4.5,410
1513,VetCode,Medical,0.0,0,MEDICAL,4.9,28
1514,Stack Jump,Games,4.56148,287147,GAME,4.3,118253
1515,REDCap Mobile App,Medical,4.5,2,MEDICAL,4.3,56
1516,Cochrane Library,Medical,4.88889,9,MEDICAL,3.7,3
1517,Wish - Shopping Made Fun,Shopping,4.65395,2200858,SHOPPING,4.5,6210998
1518,Wish - Shopping Made Fun,Shopping,4.65395,2200858,SHOPPING,4.5,6211039
1519,Wish - Shopping Made Fun,Shopping,4.65395,2200858,SHOPPING,4.5,6212081
1520,Wish - Shopping Made Fun,Shopping,4.65395,2200858,SHOPPING,4.5,6200739
1521,OptoDrum,Medical,2.1,10,MEDICAL,3.9,10
1522,AO Surgery Reference,Medical,3.0,2,MEDICAL,4.7,2570
1523,AO/OTA Fracture Classification,Medical,4.21429,14,MEDICAL,4.9,25
1524,Seen,Medical,0.0,0,FAMILY,4.5,118285
1525,Seen,Shopping,5.0,5,FAMILY,4.5,118285
1526,Standoff 2,Games,4.62825,11002,GAME,4.5,299046
1527,Star Wars™: Galaxy of Heroes,Games,4.61366,192534,FAMILY,4.5,1461698
1528,BZ-Smart,News,4.66667,3,NEWS_AND_MAGAZINES,4.3,828
1529,CT MyChiroTown Mobile,Medical,2.5,8,MEDICAL,3.9,40
1530,ASRA Coags,Medical,4.5,12,MEDICAL,4.4,15
1531,Sharaf DG,Shopping,4.46479,2627,SHOPPING,4.0,7006
1532,Stick War: Legacy,Games,4.79362,36316,GAME,4.6,811040
1533,Couchsurfing Travel App,Travel,4.62502,6915,TRAVEL_AND_LOCAL,4.4,61776
1534,EXO-L Amino for EXO Fans,Music,4.84456,193,SOCIAL,4.9,5677
1535,Cytus,Games,4.86306,1519,GAME,4.7,541732
1536,Cytus II,Games,4.847,8026,GAME,4.7,16851
1537,Skin Disease,Medical,0.0,0,BEAUTY,4.0,1
1538,PulsePoint AED,Medical,4.71767,5320,MEDICAL,4.5,330
1539,PulsePoint Respond,Medical,4.78775,122218,MEDICAL,4.5,7837
1540,Cozi Family Organizer,Productivity,4.80006,242866,PRODUCTIVITY,4.4,56713
1541,CP Clicker,Lifestyle,2.8012,166,LIFESTYLE,4.2,251
1542,AY Sing,Reference,4.59999,20,BOOKS_AND_REFERENCE,4.8,111
1543,BH Táxi,Navigation,0.0,0,BUSINESS,3.9,91
1544,CQ Hotels,Travel,3.0,30,TRAVEL_AND_LOCAL,4.3,15
1545,DB Busradar NRW,Travel,0.0,0,MAPS_AND_NAVIGATION,3.7,78
1546,DB Navigator,Travel,3.96183,524,MAPS_AND_NAVIGATION,4.0,119685
1547,DB Streckenagent,Travel,3.55556,9,MAPS_AND_NAVIGATION,3.9,4569
1548,DC Metro,Utilities,5.0,1,MAPS_AND_NAVIGATION,3.4,59
1549,DC Metro,Utilities,0.0,0,MAPS_AND_NAVIGATION,3.4,59
1550,BringGo AU & NZ,Navigation,5.0,1,MAPS_AND_NAVIGATION,2.8,440
1551,Strike! Ten Pin Bowling,Games,4.25729,1337,SPORTS,4.2,18584
1552,National Rail Enquiries,Travel,2.4,5,MAPS_AND_NAVIGATION,3.5,18857
1553,Stupid Zombies,Games,4.77726,77465,GAME,4.5,464900
1554,EV Connect,Navigation,4.54685,587,MAPS_AND_NAVIGATION,2.8,25
1555,Google Earth,Travel,4.13587,26069,TRAVEL_AND_LOCAL,4.3,2338655
1556,Google Earth,Travel,4.13587,26069,TRAVEL_AND_LOCAL,4.3,2339098
1557,CS Customizer,Lifestyle,4.11111,9,COMMUNICATION,3.7,25
1558,Mutual - LDS Dating,Lifestyle,3.98782,24065,DATING,3.7,1439
1559,GPS Speedometer and Odometer,Navigation,4.77961,9760,MAPS_AND_NAVIGATION,4.8,15865
1560,MyChart,Medical,3.69111,11784,MEDICAL,4.2,19473
1561,Grab Driver,Travel,3.63118,263,MAPS_AND_NAVIGATION,4.2,301413
1562,Paris ci la Sortie du Métro,Travel,4.84211,38,MAPS_AND_NAVIGATION,4.2,453
1563,Creative Destruction,Games,4.55062,173077,GAME,4.4,201426
1564,BaconReader for Reddit,News,4.08821,1315,NEWS_AND_MAGAZINES,4.5,103074
1565,E! News,News,4.76607,42393,NEWS_AND_MAGAZINES,4.0,15443
1566,My College Bookstore,Shopping,4.09077,672,SHOPPING,3.2,661
1567,"Ocala Star Banner, FL",News,4.27027,111,NEWS_AND_MAGAZINES,4.5,75
1568,BBC Sport,Sports,4.68703,12097,SPORTS,4.2,18678
1569,BBC Sport,Sports,4.68703,12097,SPORTS,4.2,18679
1570,NTES,Travel,3.23913,46,TRAVEL_AND_LOCAL,4.3,165299
1571,AF Link,News,4.47222,36,NEWS_AND_MAGAZINES,4.7,210
1572,CX-17WIFI,Lifestyle,3.0,3,FAMILY,4.3,49
1573,SkyLove – Dating and chat,Social Networking,4.50952,420,DATING,3.5,69
1574,AL.com,News,4.49128,15311,NEWS_AND_MAGAZINES,3.4,803
1575,News360: Personalized News,News,4.56959,14154,NEWS_AND_MAGAZINES,4.4,30722
1576,PlugShare,Navigation,4.75185,60237,MAPS_AND_NAVIGATION,4.7,4501
1577,BG Score,Sports,0.0,0,SPORTS,2.6,64
1578,Pocket,News,0.0,0,NEWS_AND_MAGAZINES,4.5,256680
1579,Fast News,News,0.0,0,NEWS_AND_MAGAZINES,4.4,84957
1580,Middlesbrough FC Official,Sports,2.66667,3,SPORTS,4.5,152
1581,VZ Navigator,Navigation,3.97739,575,TRAVEL_AND_LOCAL,4.0,16101
1582,Novinky.cz,News,4.88889,9,NEWS_AND_MAGAZINES,3.7,2375
1583,Live Tennis Rankings / LTR,Sports,4.84471,1288,SPORTS,4.8,1660
1584,FK Crvena zvezda,News,4.86275,51,SPORTS,4.9,1211
1585,AP ENPS Mobile,Productivity,2.375,8,PRODUCTIVITY,4.1,22
1586,E!,Entertainment,4.5409,6724,FAMILY,3.1,740
1587,Florida Today,News,4.56102,1729,NEWS_AND_MAGAZINES,3.3,202
1588,DC-014,Photo & Video,3.875,24,PHOTOGRAPHY,5.0,3
1589,Image 2 Wallpaper,Utilities,4.40909,22,TOOLS,4.3,81668
1590,Goal Live Scores,Sports,4.69104,4117,SPORTS,4.4,232423
1591,Turo - Better Than Car Rental,Travel,4.8041,163698,TRAVEL_AND_LOCAL,4.4,14114
1592,Chicago Tribune,News,4.48618,8579,NEWS_AND_MAGAZINES,3.6,1380
1593,Speed Cameras Radar,Navigation,4.51671,389,MAPS_AND_NAVIGATION,4.4,18710
1594,Ariana News AF,News,5.0,2,NEWS_AND_MAGAZINES,4.1,20
1595,ARY NEWS URDU,News,2.9,20,NEWS_AND_MAGAZINES,4.4,1071
1596,DENVER ACTION CAM 3,Photo & Video,0.0,0,PHOTOGRAPHY,2.9,66
1597,Golf Channel,Sports,4.51922,22586,SPORTS,4.1,19230
1598,GollerCepte 1903,Sports,4.63042,46,SPORTS,4.7,25172
1599,Super Mario Run,Games,3.75598,55360,GAME,3.7,1221896
1600,DF Night Selfies,Photo & Video,0.0,0,PHOTOGRAPHY,4.3,194
1601,Reuters News,News,3.70246,1788,NEWS_AND_MAGAZINES,4.3,13169
1602,Reuters News,News,3.70246,1788,NEWS_AND_MAGAZINES,4.3,13166
1603,WFLA News Channel 8 - Tampa FL,News,4.67556,10985,NEWS_AND_MAGAZINES,3.8,133
1604,FH WiFiCam,Photo & Video,3.25,4,PHOTOGRAPHY,2.6,201
1605,Background Eraser,Photo & Video,0.0,0,PHOTOGRAPHY,4.5,267378
1606,DN.VR,News,0.0,0,NEWS_AND_MAGAZINES,3.0,29
1607,File Explorer,Utilities,3.0,7,PRODUCTIVITY,4.1,979
1608,Instagram,Photo & Video,4.7468,21839585,SOCIAL,4.5,66577313
1609,Instagram,Photo & Video,4.7468,21839585,SOCIAL,4.5,66577446
1610,Instagram,Photo & Video,4.7468,21839585,SOCIAL,4.5,66509917
1611,DK Pittsburgh Sports,Sports,4.48148,135,SPORTS,4.1,556
1612,AKASO DV,Photo & Video,2.05825,206,TOOLS,2.4,99
1613,Epson iPrint,Photo & Video,4.73824,131016,TOOLS,4.1,108169
1614,Best Car Wallpapers,Reference,1.0,1,AUTO_AND_VEHICLES,4.5,994
1615,Snapseed,Photo & Video,3.68997,7038,PHOTOGRAPHY,4.5,823109
1616,Hypocam,Photo & Video,4.54026,298,PHOTOGRAPHY,4.5,12572
1617,Flickr,Photo & Video,4.47581,11040,PHOTOGRAPHY,4.3,251951
1618,Canon CameraWindow,Photo & Video,2.61538,143,PHOTOGRAPHY,3.5,12204
1619,M-Sight Pro,Photo & Video,2.2,10,VIDEO_PLAYERS,3.3,30
1620,SnipSnap Coupon App,Shopping,4.07759,464,SHOPPING,4.2,9975
1621,LINE Camera - Photo editor,Photo & Video,4.68553,8621,PHOTOGRAPHY,4.3,1517369
1622,LINE Camera - Photo editor,Photo & Video,4.68553,8621,PHOTOGRAPHY,4.3,1517395
1623,U Guard,Photo & Video,1.87234,47,TOOLS,3.0,245
1624,EZ-SEE,Photo & Video,0.0,0,VIDEO_PLAYERS,2.8,71
1625,V.360° Camera,Photo & Video,2.37838,37,PHOTOGRAPHY,3.3,582
1626,Yahoo Weather,Weather,4.66299,89675,WEATHER,4.4,1312037
1627,XDV,Utilities,2.22823,333,PHOTOGRAPHY,3.1,6827
1628,DW Event,News,1.0,1,EVENTS,4.3,9
1629,Magisto Video Editor & Maker,Photo & Video,4.61946,118344,VIDEO_PLAYERS,4.3,960726
1630,Nero AirBurn,Productivity,3.375,8,VIDEO_PLAYERS,4.2,1008
1631,DS photo,Photo & Video,2.44578,83,VIDEO_PLAYERS,3.8,7335
1632,Tattoo Name On My Photo Editor,Photo & Video,4.20512,39,ART_AND_DESIGN,4.2,44829
1633,Live DV,Photo & Video,2.27999,75,PHOTOGRAPHY,2.0,16
1634,FN Cam,Photo & Video,3.0,2,PHOTOGRAPHY,3.4,181
1635,CX_WiFiUFO,Games,2.36364,11,SPORTS,3.7,818
1636,G Cloud Backup,Productivity,2.24074,54,PRODUCTIVITY,4.6,267189
1637,G Cloud Backup,Productivity,2.24074,54,PRODUCTIVITY,4.6,267042
1638,We Heart It,Social Networking,4.43602,15937,SOCIAL,4.5,637309
1639,We Heart It,Social Networking,4.43602,15937,SOCIAL,4.5,637254
1640,Blur,Photo & Video,0.0,0,PHOTOGRAPHY,4.0,9013
1641,Verizon Cloud,Productivity,4.57871,129580,PRODUCTIVITY,4.3,185632
1642,Swahili Radio,News,3.0,1,NEWS_AND_MAGAZINES,4.5,171
1643,Boomerang from Instagram,Photo & Video,4.09623,14175,PHOTOGRAPHY,4.4,928720
1644,Sydney FC Official App,Sports,0.0,0,SPORTS,4.6,57
1645,Phonto - Text on Photos,Photo & Video,4.81079,89259,PHOTOGRAPHY,4.3,307453
1646,Easy Voice Recorder,Productivity,4.7505,2990,PRODUCTIVITY,4.4,205191
1647,Swamp Attack,Games,4.66719,16529,GAME,4.4,2119218
1648,Swamp Attack,Games,4.66719,16529,GAME,4.4,2119235
1649,CT Prepares,News,5.0,2,NEWS_AND_MAGAZINES,2.6,13
1650,Selfie Photo Editor,Photo & Video,5.0,1,PHOTOGRAPHY,4.6,11677
1651,Sona - Nær við allastaðni,Lifestyle,4.75,4,LIFESTYLE,4.2,31
1652,Fayr - Co-Parenting Simplified,Productivity,3.84091,132,PRODUCTIVITY,3.5,16
1653,Photo Effects Pro,Photo & Video,0.0,0,PHOTOGRAPHY,4.4,1494491
1654,GoAction,Photo & Video,1.81818,11,VIDEO_PLAYERS,3.6,1522
1655,T-Mobile,Utilities,4.78685,2428970,TOOLS,4.3,482630
1656,T-Mobile DIGITS,Productivity,2.2844,109,COMMUNICATION,3.0,1820
1657,U+Box,Productivity,0.0,0,PRODUCTIVITY,3.8,24517
1658,U-Scan,Productivity,1.81982,111,TOOLS,3.4,784
1659,EF Calculator,Productivity,0.0,0,PRODUCTIVITY,4.7,19
1660,Yandex.Disk,Productivity,4.78071,2125,PRODUCTIVITY,4.4,115072
1661,Google Photos,Photo & Video,4.70334,327522,PHOTOGRAPHY,4.5,10858556
1662,Google Photos,Photo & Video,4.70334,327522,PHOTOGRAPHY,4.5,10858538
1663,Google Photos,Photo & Video,4.70334,327522,PHOTOGRAPHY,4.5,10859051
